Segment	Chr	StartMB	StopMB	Length	N_SNP	StartSNP	StopSNP
1	1	0.757	121.349	120.593	20843	rs3131962	rs1851250
2	1	149.663	249.219	99.556	17780	rs61809779	rs74322946
3	2	0.012	90.065	90.053	16360	rs10172629	rs62158571
4	2	95.425	243.041	147.616	23041	rs72817637	rs55680940
5	3	0.072	90.298	90.226	16282	rs17257408	rs62277730
6	3	93.529	197.840	104.311	17050	rs76930748	rs73217937
7	4	0.072	49.085	49.014	9404	rs13125929	rs6825482
8	4	52.685	190.905	138.220	21791	rs2874073	rs72724831
9	5	0.030	46.319	46.289	8400	rs68104681	rs74517176
10	5	49.563	68.829	19.266	2895	rs74498588	rs77368551
11	5	70.671	180.698	110.027	18645	rs114478632	rs2545086
12	6	0.203	58.739	58.536	12250	rs11757325	rs114744886
13	6	61.935	170.908	108.973	17375	Affx-37095799	rs7775031
14	7	0.044	57.930	57.887	11509	rs62429406	rs9691108
15	7	61.070	159.114	98.044	15619	rs117062452	rs77977684
16	8	0.165	43.750	43.585	10080	rs11780869	rs74690585
17	8	46.941	146.293	99.352	15714	rs78286365	rs75215366
18	9	0.045	40.803	40.758	8322	rs9407029	rs56356112
19	9	70.958	141.070	70.111	13505	rs4081238	rs13297914
20	10	0.096	39.075	38.979	8194	rs117205301	rs117487072
21	10	47.536	135.431	87.895	15815	rs77567868	rs4454678
22	11	0.194	51.551	51.358	9601	rs2294081	rs72910555
23	11	54.816	134.942	80.126	14336	rs112485935	rs10791409
24	12	0.191	34.827	34.636	6970	rs79664699	rs76781306
25	12	37.858	133.831	95.973	16512	rs12297172	rs35548239
26	13	19.022	115.103	96.081	17207	rs4415875	rs11618177
27	14	19.336	107.288	87.951	16106	rs117509976	rs10149476
28	15	22.305	102.397	80.092	15376	rs74002722	rs13329121
29	16	0.086	32.616	32.530	7117	rs74676015	rs78886704
30	16	46.502	90.170	43.668	10244	rs117299691	rs62052682
31	17	0.050	22.214	22.164	5131	rs79636263	rs117792818
32	17	25.322	81.104	55.782	10667	rs57808050	rs9330525
33	18	0.066	15.156	15.090	3867	rs56295463	rs114115888
34	18	18.555	78.015	59.460	11266	rs113803078	rs12960632
35	19	0.261	24.490	24.229	5362	rs8102615	Affx-15733266
36	19	27.816	59.094	31.279	7189	rs8189705	rs76447935
37	20	0.063	26.246	26.183	5904	rs6076506	rs4815518
38	20	29.521	62.915	33.394	7395	rs111229491	rs4809418
39	21	14.596	48.100	33.504	7550	rs55776382	rs118189563
40	22	16.870	51.194	34.323	7967	rs131533	rs142680588
